용어,초성,설명
"과실책임주의(過失責任主義, principle of liability with fault)",ㄱ,"자기의 고의나 과실에 대하여서만 가해행위의 책임을 진다는 원칙을 의미한다. 불법행위(不法行爲)나 채무불이행(債務不履行)시에 개인은 자기의 행위에 대해서만 책임질 뿐이고 타인의 행위에 대해서는 책임을 지지 않으며, 나아가 자기의 행위에 대해서도 고의(故意), 과실(過失)이 있는 때에 한하여 책임을 진다는 원칙을 말한다."
과잉경매(過剩競賣),ㄱ,"여러개의 부동산에 경매를 신청한 경우 먼저 경매를 시행한 부동산의 경락가액이 각 채권자의 채권액과 강제집행비용을 초과할 경우, 경매를 실시하지 않은 나머지 부동산에 대한 경매결정은 과잉경매로 판단된다. 과잉경매 대상 부동산에 대해서는 경락을 허가하지 않으며, 대상 부동산이 확정되지 않은 경우 채무자는 그 부동산중 매각할 것을 지정할 수 있다(민사소송법 제636조)."
"관개(灌漑, irrigation)",ㄱ,관개란 농지의 농업 생산력을 계속적으로 높이기 위해 물을 조직적으로 경지에 끌어들이고 철저한 관리하에 배분하는 것을 말한다.
관광단지(觀光團地),ㄱ,관광단지라 함은 관광객의 다양한 관광 및 휴양을 위하여 각종 관광시설을 종합적으로 개발하는 관광거점지역으로서 관광진흥법에 의하여 지정된 곳을 말한다(관광진흥법 제2조제7호).
관광지(觀光地),ㄱ,관광지라 함은 자연적 또는 문화적 관광자원을 갖추고 관광객을 위한 기본적인 편의시설을 설치하는 지역으로서 관광진흥법에 의하여 지정된 곳을 말한다(관광진흥법 제2조제6호).
관광특구(觀光特區),ㄱ,관광특구라 함은 외국인관광객의 유치촉진 등을 위하여 관광활동과 관련된 관계법령의 적용이 배제되거나 완화되는 지역으로서 관광진흥법에 의하여 지정된 곳을 말한다(관광진흥법 제2조제11호).
관광휴게시설(觀光休憩施設),ㄱ,"건축법상의 용어로서 관광휴게시설에는 야외음악당과 야외극장, 어린이회관, 관망탑, 휴게소, 공원ㆍ유원지 또는 관광지에 부수되는 시설이 포함된다(건축법시행령 별표1)."
관리비(管理費),ㄱ,"일반적으로 임대용 부동산의 효용을 적정하게 유지시키는 운전 및 점검, 보수, 경비에 요하는 인건비, 사무용소모품, 관리보수 등을 의미한다. 관리비는 임대서비스를 제공하기 위한 실비의 개념으로 임대료와 별도로 징수한다."
관리처분계획(管理處分計劃),ㄱ,"주택재개발사업에서의 관리처분계획은 필수적인 절차이나 재건축사업에서는 임의절차로 구분된다.
주택재개발사업에서의 관리처분계획은 재개발사업시행구역 안에 있는 종전의 토지 또는 건축물의 소유권과 지상권, 전세권, 임차권, 저당권 등 소유권 이외의 권리를 재개발사업으로 조성된 토지(대지)와 축조된 건축시설에 관한 권리로 변환시켜 배분하는 일련의 계획를 말한다. 또한 손실보상, 계약, 수용 등에 의한 취득, 청산 또는 권리의 해지로 소멸시키거나 이행하는 관리계획과 공공시설의 귀속 및 시행자에게 귀속된 대지 또는 건축시설의 처분에 관한 일련의 계획으로 볼 수 있다.
또한 관리처분계획은 그 계획을 통하여 대지 또는 건축시설의 합리적 이용을 도모하게 하고 재해의 방지, 위생의 향상, 기타 주거조건을 개선토록 기여한다. 따라서 다양한 권리유형과 다양한 가치 및 이해관계를 어떤 기준과 방법으로 조정하고 관리하며 분배하고 처분할 것인가 하는 문제는 사업추진의 효율성과 정책목표 달성여부에 직결되는 문제이다. 도시재개발법에서는 재개발사업의 시행자가 사업시행인가 후 60일간의 분양신청기간이 경과한 때에 재개발사업으로 조성된 대지 및 건축시설에 관한 관리처분계획을 정하여 시장ㆍ군수 또는 구청장에게 인가받도록 하고 있다(도시재개발법 법 제34조제1항).
재건축사업에서의 관리처분계획은 조합원이 출자한 재산권의 평가방법, 새로 건축된 건축물과 대지지분을 조합원에게 배분하는 기준 등을 말한다. 관리처분계획은 사실상 재건축조합의 조합원들이 취득할 건축물 및 대지지분이 얼마인지, 나아가 재건축종료 후 부담하여야 할 건축비 등의 부담금이 얼마인지, 그리고 정산 받을 금액은 얼마인지를 가늠할 수 있는 가장 중요한 기준이 된다.
재건축사업의 관리처분계획은 일종의 조합내부계산서로 법적으로 규정한 사항이 아니기 때문에 재건축사업 인ㆍ허가시 반드시 필요한 것은 아니다. 그러나 재건축사업의 업무처리상 필요하여 대부분의 재건축사업에서 이를 수립하여 시행하고 있다.
관리처분계획의 구체적인 내용은 주택건설촉진법과 동법 시행령 및 주택공급에관한규칙이 정하고 있는 기준 범위내에서 조합의 여건에 따라 재건축조합이 자율적으로 정할 수 있다. 관리처분계획은 건설교통부 표준규약에서 제시하고 있는 관리처분계획의 수립기준을 참조하여 수립하는 것이 바람직하다."
관망지역권(觀望地役權),ㄱ,"관망지역권이란 특정 토지에서 강이나 호수, 공원, 산 등 양호한 경관을 볼 수 있는 전망권을 유지하기 위하여 대상토지와 강이나 호수 사이에 위치한 토지의 이용방법을 제한하기 위하여 설정되는 지역권을 의미한다."
관습법(慣習法),ㄱ,"관습법이라 함은 사회에서 자연적으로 발생한 관행이 일반적으로 인정된 법적 확신에 의하여 법규범으로 승격된 것으로 법원의 판결로 확인된 것을 말한다.
관습법은 사회질서와 선량한 풍속에 반하지 않는 관습이 단순한 예외적ㆍ도덕적인 규범으로서 지켜질 뿐만 아니라 사회의 법적 확신 내지 법적 인식을 수반하여 법의 차원으로 굳어진 것으로, 관습법의 성립조건은 우선 관행이 존재하여야 하고, 관행에 대한 일반의 법적 확신이 있어야 하며, 관행이 사회질서에 위반하지 말아야 한다. 관습법은 성문법에 대하여 원칙적으로 보충적 효력을 가지는데 불과하다."
관습상법정지상권(慣習上法定地上權),ㄱ,"관습상의 법정지상권은 토지와 건물이 동일인에게 속하였다가 그 중 어느 하나가 일정한 원인으로 소유자를 달리하게 되는 경우 그 건물을 철거한다는 특약이 없으면 성립되는 것으로 토지와 건물을 각기 독립한 부동산으로 취급하는 우리 법제에서 그 건물의 가치를 유지시키기 위한 필요에 의하여 관습법상 인정한 제도인바, 토지소유권은 관습법상 법정지상권으로 말미암아 제한을 당하게 된다(대법원 1999.3.26 선고 98다64189 판결).
토지 또는 건물이 동일한 소유자에게 속하였다가 건물 또는 토지가 매매 기타의 원인으로 인하여 양자의 소유자가 다르게 된 때에 그 건물을 철거하기로 하는 합의가 있었다는 등 특별한 사정이 없는 한 건물소유자는 토지소유자에 대하여 그 건물을 위한 관습상의 지상권을 취득하게 된다(대법원 1980.7.8.선고, 79다2000판결)."
"광고(廣告, advertiding)",ㄱ,"주로 상품 또는 서비스에 대해 많은 사람들의 욕구를 자극하고 행동을 환기ㆍ촉진하여 판매상의 효과를 거두려는 상업 선전을 말한다. 우리가 보통 사용하고 있는 광고라는 말은 2가지 의미를 지니고 있는데, 하나는 광고물(광고 메시지)이고 다른 하나는 그 광고물을 포함한 광고 활동이다. 전자는 인쇄 광고물, 라디오나 테레비젼의 CM등이고, 후자는 광고주의 광고 활동이나 광고 캠페인 등이다.
광고와 유사한 것으로 PR, 포블리시티(pudlicity), 프로모션(promotion), 세일즈 프로모션(판매 촉진) 등의 용어가 있다. 광고에서 최소의 비용으로 최대의 효과를 올리려면, 그 상품의 성질, 시장, 배급 관계 비용, 매체의 제작법, 고객에 대한 심리적 반응 등의 여러 요소를 고려하여 실시 계획을 추진시켜야 한다."
광업권(鑛業權),ㄱ,"광업권이라 함은 등록을 한 일정한 토지의 구역(鑛區)에서 등록을 한 광물과 이와 동일광상(同一鑛床)중에 부존(賦存)하는 다른 광물을 채굴 및 취득하는 권리를 말한다(광업법 제5조).
광업권은 광업원부에 등록됨으로써 그 권리가 성립되며 물권으로 간주된다.
광업권은 상속이나 양도, 저당, 조광권 또는 저당권의 설정, 체납 처분이나 강제 집행 이외에는 권리의 목적으로 할 수 없다. 광업권의 존속 기간은 25년으로 하되 기한 만료 전에 주무장관의 허가를 받아 존속 기간을 연기할 수 있다."
광업법(鑛業法),ㄱ,"지하 자원을 합리적으로 개발함으로써 국가의 산업  발달에 이바지하기 위하여 광업에 관한 기본적 제도를 규정한 법률(1951년 법률 제 234호). 이 법은 총칙을 비롯해 광업권ㆍ조광권ㆍ광구 등의 조정, 국영광업, 토지의 사용과 수용, 광해 배상ㆍ감독 및 조성, 이의신청, 보칙 및 벌칙 등 총 11장 117조로 규정되어 있으며, 하위규정으로 광업법시행령과 그 시행규칙, 광업등록령이 있다."
광업재단(鑛業財團),ㄱ,"광업재단이라 함은 광업권(鑛業權)과 그 광업권에 기하여 광물을 채굴, 취득하기 위한 제설비(諸說備) 및 이에 부속하는 사업의 제설비로 설정할 수 있는 재단이다(광업재단저당법 제2조). 광업재단에 포함되는 제설비는 다음과 같다.
1. 토지와 공작물(工作物)
2. 지상권 기타 토지의 사용권(使用權)
3. 임대인의 동의가 있는 경우에는 물건의 임차권(賃借權)
4. 기계, 기구, 차량, 선박, 기타 부속물(附屬物)
5. 광업권등으로 구성되는 일단(一團)의 기업재단이다.
과업재단은 광업재단저당법에 의하여, 광업재단등기부(鑛業財團登記簿)에 소유권보존의 등기를 함으로써 대한 공시(公示)의 기능을 하게 된다.
따라서, 소유권과 저당권설정의 목적이 되고, 광업재단은 1개의 부동산으로 본다. 그러나 광업권이나 그 광업권에서 설정된 저당권, 그리고 변경, 이전, 소멸 및 처분의 제한, 광업권의 존속기간, 공동광업권자의 탈퇴 등은 상공자원부에 있는 광업원부(鑛業原簿)에 등록되는데, 이 광업원부에 등록되면 등기부에 갈음하여 대체되므로 사실상 등기된 것과 같은 보호를 받게 된다."
광업재단저당법(鑛業財團抵當法),ㄱ,광업재단의 구성과 그 재단에 대한 저당권의 설정 등의 제반 關係를 적절히 규율함으로써 광업권자로 하여금 자금을 확보하게 하여 지하자원의 개발과 산업의 발달을 도모함을 목적으로 제정된 법률이다(1961. 10. 17. 법률 제750호).
광역개발권역(廣域開發圈域),ㄱ,"광역개발권역이란 광역시와 그 주변지역, 공업단지와 그 배후지역 또는 여러 도시가 상호 인접하여 동일한 생활권을 이루고 있는 지역등을 광역적으로 개발할 필요가 있다고 인정되는 경우에는 그 지역을 건설교통부장관이 지정하여 고시한 지역을 말한다.
지정ㆍ고시된 광역개발권역에 관할구역의 전부 또는 일부가 포함되는 광역시장 또는 도지사는 대통령령이 정하는 바에 따라 관계 시장 또는 군수의 의견을 들어 광역개발사업계획을 작성하여 건설교통부장관에게 제출하여야 하며, 건설교통부장관은 2이상의 광역시 또는 도에 걸쳐 지정된 광역개발권역으로서 국가목적 달성을 위하여 필요한 경우에는 관계 광역시장 또는 도지사의 의견을 들어 직접 광역개발계획을 작성하거나 관계 광역시장 또는 도지사중에서 광역개발계획을 작성할 자를 지정할 수 있다(법 제5조).
광역개발계획에는 다음 각호의 사항에 관한 구체적인 사업계획이 포함되어야 한다(법 제6조).
  1. 산업입지, 주거단지, 위락ㆍ휴식공간등 광역개발권역안의 토지이용에 관한 사항
  2. 교통시설, 용수공급시설, 하수도시설등 광역적으로 이용하는 공공시설의 배치에 관한 사항
  3. 광역쓰레기처리장, 폐기물처리시설등의 설치에 관한 사항
  4. 관광자원개발, 환경의 보전등에 관한 사항
  5. 제1호 내지 제4호의 사업시행을 위한 투자소요규모에 관한 사항
  6. 기타 광역개발권역의 종합적인 발전을 위하여 필요하다고 인정되는 사항으로서 대통령령이 정하는 사항"
